address,slots,name,bikes,status,zip,id,lon,lat,stationType,addressNumber,nearbyStations,district
417 - Goya-Augusto Rodín,28,417 GOYA-AUGUSTO RODÍN,2,OPN,3920,417,-99.184333,19.373262,"BIKE,TPV",S/N,"384,385,386",INM
418 - Galicia-Actipan,30,418 GALICIA-ACTIPAN,6,OPN,3920,418,-99.183034,19.371152,BIKE,S/N,"388,417,419",INM
419 - Actipan-Cadiz,30,419 ACTIPAN-CADIZ,0,OPN,3920,419,-99.181502,19.370606,BIKE,S/N,"418,420,421",INM
420 - María Luz Bringas-Oso,25,420 MARÍA LUZ BRINGAS-OSO,2,OPN,3230,420,-99.17964,19.369723,BIKE,S/N,"418,419,421",ACT
421 - María Luz Bringas-Oso,27,421 MARÍA LUZ BRINGAS-OSO,2,OPN,3230,421,-99.179401,19.369467,BIKE,S/N,"419,420,422",ACT
422 - Bufalo-José María Rico (Eje 8),16,422 BUFALO-JOSÉ MARÍA RICO (EJE 8),5,OPN,3230,422,-99.177487,19.368356,BIKE,S/N,"421,423,436",ACT
423 - Moras-José María Rico (Eje 8),17,423 MORAS-JOSÉ MARÍA RICO (EJE 8),7,OPN,3240,423,-99.175342,19.367631,BIKE,S/N,"422,436,437",ACA
424 - Amores-José María Rico (Eje 8),11,424 AMORES-JOSÉ MARÍA RICO (EJE 8),4,OPN,3104,424,-99.170531,19.367208,BIKE,S/N,"413,425,435",DVS
425 - Nicolas San Juan-Avenida Universidad,28,425 NICOLAS SAN JUAN-AVENIDA UNIVERSIDAD,8,OPN,3104,425,-99.16741,19.367087,BIKE,S/N,"411,412,426",DVS
426 - Cerrada De Popocatepetl-Av. Popocatepetl (Eje,32,426 CERRADA DE POPOCATEPETL-AV. POPOCATEPETL (EJE ,3,OPN,3330,426,-99.166017,19.365519,BIKE,S/N,"411,412,425",XOC
427 - Avenida México-Coyoacan-Av. Popocatepetl (Eje,8,427 AVENIDA MÉXICO-COYOACAN-AV. POPOCATEPETL (EJE ,13,OPN,3310,427,-99.162993,19.365023,BIKE,S/N,"411,412,426",SCA
428 - Prolongación Uxmal-Av. Popocatepetl (Eje 8),20,428 PROLONGACIÓN UXMAL-AV. POPOCATEPETL (EJE 8),7,OPN,3340,428,-99.160353,19.363418,BIKE,S/N,"427,430,431",GPM
429 - Pirineos-Av. Popocatepetl (Eje 8),4,429 PIRINEOS-AV. POPOCATEPETL (EJE 8),17,OPN,3310,429,-99.158292,19.363071,BIKE,S/N,"428,430,431",SCA
430 - Tripoli-Av. Popocatepetl (Eje 8),10,430 TRIPOLI-AV. POPOCATEPETL (EJE 8),20,OPN,3310,430,-99.154974,19.362139,BIKE,S/N,"409,429,431",SCA
431 - Bruno Traven-Paz Montes De Oca,13,431 BRUNO TRAVEN-PAZ MONTES DE OCA,8,OPN,3340,431,-99.15822,19.36145,BIKE,S/N,"428,429,430",GPM
432 - Carrillo Pto-Golondrinas,34,432 CARRILLO PUERTO-AV. MÉXICO-COYOACÁN,2,OPN,3340,432,-99.162581,19.361296,BIKE,S/N,"442,443,444",GPM
433 - Jose María Olloqui-Lopéz Costilla,16,433 JOSE MARÍA OLLOQUI-LOPÉZ COSTILLA,5,OPN,3104,433,-99.170819,19.363558,BIKE,S/N,"434,435,439",DVS
434 - Jose María Olloqui-Amores,20,434 JOSE MARÍA OLLOQUI-AMORES,7,OPN,3104,434,-99.171498,19.363776,"BIKE,TPV",S/N,"433,435,439",DVS
435 - Rodriguez Saro-Avenida Coyoacán,35,435 RODRIGUEZ SARO-AVENIDA COYOACÁN,1,OPN,3230,435,-99.172906,19.365154,BIKE,S/N,"433,434,438",ACT
436 - Rodriguez Saro-Bufallo,20,436 RODRIGUEZ SARO-BUFALLO,10,OPN,3240,436,-99.177819,19.366217,BIKE,S/N,"422,423,437",ACA
437 - Moras-Comunal,21,437 MORAS-COMUNAL,0,OPN,3240,437,-99.17602222,19.36480833,BIKE,S/N,"423,436,438",1
438 - Adolfo Prieto-José María Olloqui,15,438 ADOLFO PRIETO-JOSÉ MARÍA OLLOQUI,9,OPN,3240,438,-99.17458333,19.36479722,BIKE,S/N,"434,435,437",1
439 - Amores-Avenida Coyoacán,14,439 AMORES-AVENIDA COYOACÁN,4,OPN,3240,439,-99.17246667,19.36218889,BIKE,S/N,"433,434,438",ACA
440 - Real De Mayorazgo-Puente Xoco,24,440 REAL DE MAYORAZGO-PUENTE XOCO,12,OPN,3330,440,-99.168669,19.36065,BIKE,S/N,"433,439,441",1
